,sequences per sample,iteration,NU.39.DeMMO6.5mmPyrex.Sep2016,NU.18.DeMMO3.Steri.Dec2015,NU.25.DeMMO1.D1.sand.Sep2016,NU.54.4800.D1.SlideBlank.Sep2016,NU.44.DeMMO3.D1.wool.Sep2016,NU.45.DeMMO3.D1.sand.Sep2016,NU.48.800.D1.SlideBlank.Sep2016,NU.03.DeMMO6.Steri.2.092316,NU.37.DeMMO6.D1.sand.Sep2016,NU.05.DeMMO3.Steri.2.092116,NU.11.DeMMO6.Steri.2.120716,NU.26.DeMMO1.D1.3mmPyrex.Sep2016,NU.12.DeMMO3.Steri.1.120816,NU.36.DeMMO6.D1.wool.Sep2016,NU.24.DeMMO1.D1.wool.Sep2016,NU.15.DeMMO1.Steri.120715,NU.01.DeMMO1.Steri.1.092016,NU.46.DeMMO3.D1.3mmPyrex.Sep2016,NU.47.DeMMO3.D1.5mmPyrex.Sep2016,NU.14.DeMMO1.Steri.1.120916,NU.38.DeMMO6.D1.3mmPyrex.Sep2016,NU.20.DeMMO6.Steri.120815,NU.27.DeMMO1.D1.5mmPyrex.Sep2016,34.DeMMO3.T11.bottom.051117,9.DeMMO3.Steri.051117,25.DuselD.T9.bottom.082917,26.DeMMO3.T7.bottom.051117,11.DeMMO3.T2.bottom.083017,25.DeMMO3.T7.top.051117,22.DuselD.T8.top.082917,17.DeMMO3.T5.bottom.083017,24.DeMMO6.T6.bottom.051017,7.DeMMO1.Steri.050917,16.DeMMO3.T5.top.083017,27.DuselD.T10.bottom.082917,5.DeMMO6.Steri.021415,1.DeMMO1.steri.083117,28.DeMMO3.T8.bottom.051117,27.DeMMO3.T8.top.051117,24.DuselD.T9.top.082917,36.DeMMO3.T12.bottom.051117,32.DeMMO3.T10.bottom.051117,16.DeMMO6.T2.bottom.051017,10.DeMMO3.T2.top.083017,23.DuselD.T8.bottom.082917,18.DuselD.T6.top.082917,13.DeMMO6.T1.top.051017,15.DeMMO3.T4.bottom.083017,1.DeMMO1.Steri.021517,30.DeMMO3.T9.bottom.051117,21.DuselD.T7.bottom.082917,6.DeMMO3.Steri.021517,3.DeMMO3.steri.083117,12.DeMMO6.Steri#2.051017,6.DeMMO6.steri.082917,26.DuselD.T10.top.082917,33.DeMMO3.T11.top.051117,9.DeMMO3.T1.bottom.083017,12.DeMMO3.T3.top.083017,19.DeMMO6.T4.top.051017,17.DeMMO6.T3.top.051017,20.DuselD.T7.top.082917,7.DuselD.steri.082917,22.DeMMO6.T5.bottom.051017,14.DeMMO3.T4.top.083017,20.DeMMO6.T4.bottom.051017,15.DeMMO6.T2.top.051017,18.DeMMO6.T3.bottom.051017,21.DeMMO6.T5.top.051017,29.DeMMO3.T9.top.051117,14.DeMMO6.T1.bottom.051017,19.DuselD.T6.bottom.082917,31.DeMMO3.T10.top.051117,13.DeMMO3.T3.bottom.083017,35.DeMMO3.T12.top.051117,8.DeMMO3.T1.top.083017,27.24790.AfterPacker.051616,30.DuselB.050416,34.4100L.DrillFluid.051716,18.10dash1.051816,32.DuselB.051916,14.24790.AfterDrilling.050516,15.24790.DitchFluid.050516,28.24790.071216,19.10dash1.071116,33.DuselB.071316,16.10dash1.050216,26.DeMMO1.SC1.top.041818,31.DeMMO1.SC7.top.041818,52.DeMMO3.B.top.041718,14.DeMMO3.steri.041718,53.DeMMO3.C.top.041718,56.DeMMO3.F.top.041718,30.DeMMO1.SC5.top.041818,41.DeMMO3.3.top.041718,22.DeMMO1.C.top.041818,21.DeMMO1.B.top.041818,42.DeMMO3.4.top.041718,18.800.DitchFluid.041818,55.DeMMO3.E.top.041718,47.DeMMO1.9.top.041818,54.DeMMO3.D.top.041718,34.DeMMO1.SC10.top.041818,20.DeMMO1.A.top.041818,45.DeMMO1.7.top.041818,40.DeMMO3.2.top.041718,43.DeMMO3.5.top.041718,1.DeMMO1.steri.113017,29.DeMMO1.SC4.top.041818,44.DeMMO3.6.top.041718,51.DeMMO3.A.top.041718,3.DeMMO3.steri.112717,12.DeMMO1.steri.041818,39.DeMMO3.1.top.041718,17.DeMMO6.041618,50.DeMMO1.12.top.041818,46.DeMMO1.8.top.041818,49.DeMMO1.11.top.041818,28.DeMMO1.SC3.top.041818,48.DeMMO1.10.top.041818,24.DeMMO1.E.top.041818,27.DeMMO1.SC2.top.041818,33.DeMMO1.SC9.top.041818,32.DeMMO1.SC8.top.041818,6.DeMMO6.steri.112817,23.DeMMO1.D.top.041818
alpha_rarefaction_500_0.txt,500,0,145.2289838,219.5599041,113.200978,591.3989261,264.3525377,301.6637308,535.3470808,107.0537596,142.4728346,324.2925117,211.3067009,137.2279158,441.4163572,240.4527883,216.6650078,158.6549333,189.5077529,205.8169792,127.3548536,373.571184,109.4350165,105.0537596,133.200978,186.2679706,434.7559825,248.4299866,180.0693641,340.3213174,101.8414427,266.9570535,158.6135237,181.2236919,1011.380663,289.0335745,222.6759715,201.7361267,790.530935,215.2249351,225.0444687,361.7750755,171.7328274,321.7367818,168.4673625,195.2179685,201.9360816,313.3358019,318.1644145,141.3165493,1195.585955,248.3054963,208.4327073,462.6134201,429.1403992,479.0157881,136.082894,182.3676348,255.969314,460.8333856,266.7770358,130.5487402,217.5693828,236.3931082,374.8149599,164.6965119,194.7361267,173.4899027,323.3328639,149.5390899,172.0279221,184.2543952,113.4488175,220.7404236,210.0656694,130.6169103,181.4617269,167.3110313,364.0060034,131.5333189,581.7781131,674.8236507,97.41325897,343.1469009,1276.04932,323.5950929,488.1494802,83.60266038,290.0973044,71.4312392,130.60192,236.4450963,390.8592443,438.6328255,222.7418227,377.1717557,290.0335745,380.4603824,409.2175461,175.2993221,1487.235949,274.8196285,363.3448058,235.0692521,293.0973614,307.6794222,226.1099005,241.1004936,158.8891291,694.4835647,476.7293465,217.2017668,197.4336157,412.6724238,889.8261035,215.528958,219.1724936,371.0573997,259.2052148,270.7665897,279.221545,264.0898549,625.4504345,248.3054963,231.0760216,279.8577242,122.1194759,386.71588
alpha_rarefaction_500_1.txt,500,1,98.84144273,232.6191592,150.7139291,237.489921,233.9739592,354.1972885,299.1065354,149.7560745,252.7614972,372.1631538,149.3258476,148.2172666,333.6347139,173.1025733,336.7059498,143.3389044,210.9623045,223.3792458,157.253657,315.3193591,146.7913924,90.5331384,105.0817401,290.9351433,441.595283,290.7689248,185.4975208,206.8696216,88.64960627,198.3503303,238.3931082,255.2348051,950.8131578,315.2576861,365.731155,174.0790813,789.0129273,199.7568141,193.7180664,215.2394433,278.9372337,285.7564265,276.7327628,178.7865427,255.2052148,209.2000076,154.4673625,175.0753193,1054.792529,247.3727807,183.9689918,812.5372953,432.9857167,118.0537596,258.7508075,134.8407098,186.7931607,166.4506075,323.0315389,122.8760998,139.9539432,212.7418227,292.0999261,236.3194068,186.4951126,133.9864312,275.9797123,195.7018042,147.082894,276.2279723,144.6549333,232.1175639,277.2327466,646.4989493,193.4951126,187.7302634,393.890278,198.3498476,449.5987075,475.1957649,337.225189,281.4912941,1007.145386,277.970708,641.1917311,91.54800229,276.2450607,352.3239536,76.63345574,315.456217,479.6507355,245.874497,179.0496533,310.0472536,165.8530061,229.4253575,327.3989712,178.1477409,1074.022287,441.5964445,354.0237612,278.9906894,324.225189,187.099223,168.0790813,172.4462233,191.1764222,872.859748,316.2449544,207.015392,309.3028663,355.3473791,1114.902752,229.8156865,170.7605713,342.71598,194.4854579,189.3749937,429.9481088,280.8085865,413.0416251,233.9752519,277.7564265,136.8547674,228.0370631,316.1880295
alpha_rarefaction_500_2.txt,500,2,88.5331384,184.4951126,176.9429783,237.489921,243.1922239,209.8504809,531.8824568,75.98957579,157.7560745,295.5231171,182.5302977,196.3067009,251.7770358,218.6754569,172.481061,180.4475874,203.0753193,176.8769087,211.6908221,386.8196982,128.5389104,83.2040122,149.448529,208.0524041,324.2531326,294.1512469,171.9689814,192.9429783,191.3498476,168.7601381,198.4797971,217.1071021,977.7212104,293.1145866,221.4979836,217.0164308,833.6513812,206.6100266,177.0669036,188.3254559,170.6287904,238.0760216,175.4506075,325.9472534,197.7568141,173.7446688,255.7614972,147.2494018,694.4422821,233.9592999,164.0702419,641.1976885,322.4393744,142.445484,354.0252179,139.1725287,228.3194068,325.1644145,263.5968679,185.5478651,168.1456792,228.1175639,737.9395992,198.585222,195.7361267,106.7735394,181.9454128,254.9941621,137.9959274,240.9752519,292.3604055,135.082894,285.6788659,181.367682,324.1168939,272.2839927,405.3836866,98.0940086,349.1888008,643.459434,127.7609723,260.9221253,961.5614904,322.2925117,592.437158,176.8503621,391.9538929,147.7560745,244.8069769,339.9393962,375.6596137,205.7568141,205.3749937,368.0828,202.9581432,269.0335745,400.7497909,245.4372,1240.859845,279.0898549,415.3059971,281.2938365,99.89326375,315.6276196,352.6768291,233.7477339,173.4673625,623.4830441,622.4504345,273.8196285,330.0472536,338.5370402,789.7718901,247.7486454,239.1175639,289.3350868,144.4835084,282.6788659,459.8173947,217.7264105,377.7592646,370.7576745,229.6191592,89.94939006,146.3639431,337.5603789
alpha_rarefaction_500_3.txt,500,3,108.4635466,150.2169638,170.4607048,146.8547674,179.4336157,367.3204037,402.5376723,107.0207444,147.1603694,214.2249351,196.8051716,120.777691,300.8101363,225.0143057,169.9710457,200.7878182,166.8359188,212.3841098,126.4038934,363.0920679,106.331817,89.0945511,120.331817,186.0213637,412.9818609,263.3525377,178.2322964,225.3841098,133.1720019,141.3381532,224.3841098,233.471837,910.7473548,260.0685501,240.969314,170.2322964,968.8930054,174.4550961,203.5265732,182.7568141,349.8827941,329.2651827,200.6968931,193.9689918,231.4142713,176.8390033,159.7531129,145.1807826,667.5879324,268.3525377,344.8827941,570.2645783,341.8052012,301.6637308,234.3841098,154.1807826,296.460051,267.1541831,222.9542734,121.8069827,195.5323841,199.0524041,498.7026035,206.6769422,285.514129,170.0046873,353.1972885,158.2060696,150.735639,186.8530939,155.3909428,335.4175429,194.380764,307.4675971,205.3476125,210.9360816,254.5397408,119.8346792,474.2112999,791.3075359,118.1194759,351.5389877,949.3933593,259.9128579,540.7156059,60.43380089,274.6688135,97.31503988,220.7818991,369.6768291,351.0406598,457.5104378,219.1484693,409.2048519,192.8444623,598.5786585,297.5231171,229.6890866,1591.450666,302.1065354,526.0681437,235.4694963,120.5336275,230.1175639,215.7486454,253.0444481,158.0702419,706.3481282,291.6824752,234.6908221,223.0444687,493.588286,1147.621102,274.6436755,153.3381532,278.7665897,249.2394712,290.0346636,358.1688802,301.3028663,651.7606147,292.460051,194.9892929,335.1664598,106.8414427,373.8592443
alpha_rarefaction_500_4.txt,500,4,181.093075,218.5599041,134.9115848,108.4103892,215.6908221,224.9739592,265.0474267,140.2335983,137.6693593,327.1992683,132.0755267,166.7687077,271.9906894,277.9230908,300.7841846,161.9969976,197.2910332,173.4607048,156.253657,332.0656935,130.4728346,58.5054262,173.4718366,191.4186764,457.672573,415.2048519,199.015392,331.4677684,105.2633642,248.9941621,268.2474157,203.7361267,1094.10475,285.2811732,240.7116195,167.0388449,1339.755261,200.4063474,202.4813602,373.9172279,203.3067009,226.4372,229.6650078,198.4951126,450.5104378,175.8390033,120.1194759,279.9372337,799.9145879,212.8504809,437.135889,415.5735029,379.4674921,188.5881052,185.4060534,198.8051716,194.5323841,214.8169792,228.7477339,184.8603079,172.1611595,206.1071021,409.2924279,278.9450964,154.2169638,202.7315908,153.4629366,198.3749937,128.4810293,278.970708,101.1166696,225.3194068,175.9671701,162.4899027,229.2394433,293.6397433,325.9189794,126.786266,404.71588,514.9524705,96.54800229,293.8872915,1067.646123,229.2512746,459.4591784,164.1025733,333.2694749,157.0261324,267.4991695,218.6753333,334.3090148,214.4327073,207.2017668,360.8918005,261.4010217,394.7497909,379.9542736,192.4587927,1044.204878,430.3879392,415.3059971,311.2359818,108.8926396,274.9372337,277.6911007,182.5356203,154.7349202,787.6652417,521.6416029,274.2463309,303.7689248,425.0081379,746.223439,277.3958463,228.9711266,592.8264423,199.3254559,220.2900028,341.3666997,305.4540029,370.7576745,229.8042261,253.5366516,142.7913924,141.1897125,580.107006
alpha_rarefaction_500_5.txt,500,5,94.16410271,278.7564265,119.1194759,76.85014669,207.3476125,172.4060534,250.3170839,160.8935726,135.590891,424.5054127,119.7039731,168.2236919,220.0692521,146.1603694,191.4797971,144.200978,191.3516607,314.1644145,145.3381532,303.3904345,112.6126878,136.60192,95.95842667,348.8827941,338.2508452,198.3948229,211.4327073,198.3503303,117.6126878,164.6287904,202.3503303,188.4951126,820.94285,246.6116642,266.9797123,221.5599041,864.8850765,193.4186764,389.3204037,281.2917455,176.6323777,558.7596786,159.1011409,228.2901708,208.9983788,195.3948229,167.7531129,145.3165493,814.9982358,226.5321864,220.601161,369.1220387,326.7307084,124.5070169,213.6293873,137.4464514,415.5826461,167.0790813,268.2526841,161.253657,163.2060696,221.0100949,383.3381693,226.5475585,373.3194717,157.6965119,281.6788659,202.3503303,198.585222,268.9941621,152.3639431,169.8120298,188.9689918,253.4299866,197.7361267,309.8101363,309.9198382,150.7913924,353.8563219,600.4309935,129.448529,319.332516,1073.934643,305.332516,620.1479575,73.30683035,398.7403112,124.448529,239.4307951,261.0685501,366.9138701,357.4993978,278.2327466,249.9725697,169.8342826,481.5729251,559.7781131,181.6718793,1089.143936,315.2576861,331.8563219,288.7792642,219.7818991,239.2394712,465.4185251,219.070411,357.1972885,956.9483038,332.7627345,193.020054,214.5140463,566.209142,776.3662774,232.6814193,283.7327628,209.3742835,166.0702419,212.5599041,645.0340541,427.8711169,447.6926027,246.3727807,319.9393962,715.8888482,128.345667,420.3529213
alpha_rarefaction_500_6.txt,500,6,120.5686101,201.1759205,140.1603694,133.8218087,284.514129,231.0760216,211.1898673,126.5389104,132.345667,351.8511991,196.4186764,151.9969976,250.0685501,106.8414427,232.971546,251.4229413,186.2168967,199.6908221,128.4360631,387.6892076,131.3494344,87.15442151,164.2289838,203.3476125,429.901844,246.4299866,207.7361267,386.0615192,98.33778942,156.9002017,118.513872,161.4629366,1278.312793,191.910971,326.417802,183.481061,928.4340967,193.7931607,191.4060534,328.1754869,183.7180664,242.3931082,220.5599041,161.7349202,253.0474267,178.7878182,195.5140463,187.2599257,885.9114735,223.3194068,135.4160198,406.0450788,450.4291881,181.8051716,247.7977369,179.9689814,210.1724936,221.0299668,237.4068114,135.8541642,168.2060696,193.8640997,345.0544991,226.0089021,179.8935726,144.445484,168.7601381,310.7841846,147.0998376,206.8640997,137.4312037,327.9880585,147.4312037,194.9897176,301.2428136,245.9752519,212.6890866,171.4915183,264.2921478,620.6173779,105.3377894,304.8991208,1292.021442,228.1905304,610.9838682,86.91427115,306.6923703,130.4728346,132.4502636,297.3350868,300.9115009,401.1717557,176.7328274,384.890278,223.5339425,338.0288047,558.5127707,171.2288948,1702.839086,253.2408803,658.386204,278.0931746,139.7913924,262.2463309,234.9752519,208.7588256,202.1660902,961.4274009,255.6541737,282.6402511,224.1484693,431.5054127,646.5604999,203.9830352,259.3314284,414.1403992,279.9372337,287.2975115,602.9255632,492.8475412,279.7809974,212.8504809,230.9752519,149.4718366,132.5139733,375.7576745
alpha_rarefaction_500_7.txt,500,7,143.7913924,256.5366516,197.8169792,129.345667,258.2052148,205.9183683,258.926328,129.7609723,108.758856,319.2500734,296.2917455,140.4312037,344.3765043,146.3639431,280.9476658,261.7296198,193.1985633,266.9797123,202.5140463,399.1473394,182.7226365,129.448529,97.95842667,188.9689918,397.8071902,133.3258476,267.9941621,229.1175639,220.0370631,159.0359807,287.0523837,188.099223,899.8979689,274.5559889,123.0767696,181.5478651,865.6415903,171.0669036,208.3476125,441.5104378,270.9906894,265.2839927,180.2325255,230.4372,334.4287454,156.4475874,117.1110967,155.5435337,728.1958764,161.2663601,274.7066793,464.7197635,377.8364016,367.4525785,171.6287904,145.2941719,231.9739592,380.1717557,195.4318343,147.710764,148.1412386,194.9892929,427.4296662,193.2042029,188.8390033,191.1764222,142.1749035,248.7116195,125.6462984,223.7418227,154.568115,187.2042029,214.3948229,402.8083787,265.5911328,231.4372,291.460051,169.1025733,675.855914,610.4143488,134.1897125,330.0323512,1027.046883,445.4079075,520.5939289,128.448529,380.823231,88.16429267,158.2060982,250.1099005,333.1030385,279.3525377,267.9941621,369.7894689,223.0657826,322.4439771,390.4089151,178.2663601,1524.499035,513.4702214,552.6008798,289.3525377,199.9801053,274.1809607,286.9351433,306.6971577,161.0702419,727.7106111,342.3765043,223.9983788,296.2917455,393.8724489,928.9795468,240.9542734,169.269204,280.5654129,225.601161,154.9689814,449.1906182,327.9393962,323.8136796,194.5265732,241.3468201,91.89284075,130.5139733,442.9481088
alpha_rarefaction_500_8.txt,500,8,115.9324287,186.4951126,131.3494344,107.3150399,251.5030174,410.3879392,283.0999261,189.5482958,106.5487402,294.221545,215.3948229,258.9725697,255.788099,237.7296198,270.025622,163.8891291,169.7693807,202.8169792,143.3221968,331.9156904,160.6308131,103.3150399,121.4462257,213.1071021,531.5457622,134.1807826,299.6824752,234.4979836,218.0370631,164.1347759,291.7833854,195.5323841,1062.374527,291.8085865,193.1724936,202.3749937,1031.61677,164.2663601,183.4975208,261.1541831,202.3749937,228.5321864,162.9002017,170.1589919,325.8136796,134.8288312,133.3221968,215.0164308,720.1228959,199.008413,447.3500222,460.1484197,389.8829033,168.8603079,171.4673625,176.6718793,240.1968539,497.9336845,223.0478544,106.29195,143.9983928,194.9892929,509.3477572,268.8856713,139.68507,187.4607048,177.2236919,187.8051716,158.216675,331.9189794,108.9858148,154.2335983,233.471837,158.568115,209.8504809,222.7486454,250.2348051,120.6126878,432.9573787,656.4301166,69.16169364,380.0573997,851.914389,246.4010217,464.1739627,91.9624782,390.4197502,249.8069769,212.0370631,297.3350868,410.5490764,287.7665897,224.0089021,192.4777761,236.9456123,389.4872456,490.1638002,221.3476125,1392.363256,402.4089151,286.5231171,353.467018,322.9606383,508.4355259,246.5329383,275.0474267,175.9671701,983.5562156,207.9983788,256.2408803,204.008413,405.6460949,809.0905268,221.5794297,245.2219361,312.2398264,184.2679706,417.2670117,467.4360468,394.1903262,472.4661042,486.211003,318.0472536,164.3697461,122.5300462,472.4405618
alpha_rarefaction_500_9.txt,500,9,161.2060982,237.3931082,307.2651827,127.5686101,242.3170839,287.9351433,301.4657693,264.7674395,249.4527883,291.5051495,170.1611595,168.0496533,271.3544955,155.2289838,315.4866485,240.9611631,185.4530585,170.4607048,154.4629366,350.1807599,108.4350165,170.3697461,157.8547674,139.2720131,328.4650106,316.3328639,236.1099005,165.4506075,139.8535423,200.5140463,196.3067009,303.2428136,863.7628538,319.8087143,127.7782558,287.7564265,902.9238025,192.7459514,185.8386128,181.1764222,293.2428136,196.5265732,218.5599041,371.9491733,254.8196285,164.7687077,191.6968931,174.2236919,768.0995846,387.1207067,435.135889,504.8613601,310.0280743,257.0918323,205.8640997,193.4975208,178.0496533,334.417802,198.8786299,143.9276541,158.5390899,265.9167019,318.4145923,223.0089021,295.530524,247.1444426,221.5321864,164.0279221,146.2720131,272.2839927,144.9115848,240.5329383,284.7665897,474.5998128,139.2339893,180.3676348,391.5376723,77.49260942,302.1065354,646.3014428,179.8503621,215.0585595,1046.92015,253.9989088,434.061083,69.54455194,280.334364,245.4307951,131.1922673,235.6603424,360.1328196,344.4287454,171.9002017,311.3358019,289.0999261,357.0237612,397.5376723,258.7607154,1071.270739,287.970708,269.970708,339.9189794,151.0200709,270.3525377,266.2279723,211.6795406,211.6890866,754.9317889,312.2925117,241.7264105,285.7066793,404.6460949,683.4466646,244.9542734,184.7865427,372.897673,198.3749937,245.3314284,368.1390938,300.8087143,541.970831,389.1207067,199.3067009,213.0370631,101.413259,475.9353886
alpha_rarefaction_1000_0.txt,1000,0,88.20958485,282.970708,297.7726971,178.4617269,312.351828,248.4142713,252.0811478,244.971546,167.269204,326.6717201,235.6890866,177.7605713,297.3544955,155.294218,773.7215631,236.6293873,215.1749035,243.3727807,213.2179685,421.3445574,155.1603694,144.1720019,163.9115848,214.0509039,553.2603735,249.2408803,249.129019,229.601161,173.9710457,198.528958,387.0979948,227.7197093,1019.877893,471.6402407,202.4813602,218.2042029,1389.863129,239.1898673,280.3468201,315.9554071,167.7236806,250.5794108,329.4675971,259.1099005,357.467018,231.3194068,268.9941621,168.0370629,1045.375154,262.7664142,285.9034614,566.2211054,400.6151959,317.6637308,269.161626,143.6957958,199.2599257,258.2348051,231.7050363,164.0767696,173.68507,253.8303156,448.8479384,251.1256541,237.601161,245.471837,200.9689918,300.8085865,137.6740992,305.3544955,130.7316152,243.2512746,247.2075003,645.0256046,269.0685501,199.2910332,370.0072998,170.8935726,426.2202087,701.8569978,194.7226365,325.5420377,1127.692968,435.1716242,530.6696723,114.0889454,319.5262144,161.7687077,227.5206488,393.8511991,435.5311076,278.1271464,291.0931746,410.9882987,211.5975862,443.7559825,362.4932905,184.8026744,1901.774687,362.2508452,326.6729645,323.5654129,247.4307951,267.3964526,351.8406935,223.8939747,191.7865427,914.3226949,348.1469009,222.5649881,243.6872332,519.8315175,1187.448008,218.8886068,216.9761225,435.0910145,211.9581432,262.0474267,514.8503722,273.0978032,401.8014604,298.0074045,273.4992697,386.6702975,304.7199948,602.7765845
alpha_rarefaction_1000_1.txt,1000,1,106.758856,223.5339425,355.9491733,192.5323841,268.4010217,271.3369095,402.897673,407.5826461,180.5632222,368.1181116,185.8160128,181.0790813,348.1638652,206.3503303,296.460051,405.731155,198.9925913,336.4175429,190.8120298,396.1468655,152.1603694,133.345667,214.093075,268.8303156,409.8970711,254.4010217,297.5111269,380.3448058,172.5632222,228.601161,208.6769422,219.4063474,1411.848471,287.8812716,316.8684806,215.4854579,1303.63915,251.0249386,164.4360631,304.3512984,242.601161,263.7171087,262.7977369,205.9623045,258.5237273,204.3254559,193.2042029,225.7361267,1109.669689,309.8085865,308.7298038,410.607237,622.6199388,289.514129,228.1071021,182.1807826,251.2394433,237.2394433,271.1905304,148.9959274,177.8288312,279.0765888,618.9228632,362.1888008,271.5397408,159.1623453,189.5302977,328.2546342,142.9504953,240.0159523,190.9689918,341.9189794,310.1065354,272.1864695,256.6088715,196.1449817,258.7664142,112.3377894,432.9629894,755.9004641,139.590891,359.4843403,1242.840721,458.3992698,608.8020322,153.8547674,359.5722607,148.6135237,233.7296198,396.47696,440.6754002,457.9857167,221.4813602,333.3280701,225.459559,485.4367066,527.1624315,195.1870382,1866.294845,343.1175874,389.675491,348.7655058,236.7296198,281.0931746,275.4755257,222.2980989,208.2119779,971.9632822,412.7180409,254.3071627,329.212849,548.9878632,1174.075282,241.1173235,410.2543405,539.6698988,253.2512746,338.6347139,526.6887108,314.656541,374.0072998,268.1435027,591.2465408,452.1662888,117.5760414,336.1136005
alpha_rarefaction_1000_2.txt,1000,2,113.4462257,294.1809607,248.2052148,206.3067009,261.0444481,280.7037992,348.7307084,210.6293873,197.7878182,294.9594054,157.7693807,222.1071021,389.2774151,287.2153422,261.9941621,199.5478651,212.082894,233.1968539,179.7270237,372.2192679,160.4475874,114.0207444,307.530524,266.5496131,527.5969551,285.0335745,245.6046119,195.4060534,303.7841846,243.1099005,241.471837,294.9906894,1005.262092,296.3103419,359.2616129,297.0335745,1086.246002,215.8084049,195.2663601,226.7477339,210.1456671,231.6814193,143.9959274,176.1121879,269.1435027,220.8504809,157.7649696,174.8283206,1012.62465,344.5950929,248.7190538,628.8056822,599.4332184,159.218477,224.1660902,160.9109324,197.2543952,261.5968679,306.3914785,213.8051716,190.9969976,232.9542734,524.2248565,230.2017668,294.2327466,214.7361267,236.2901708,241.7264105,136.6536764,229.7588256,154.1691508,180.3110313,264.8303156,306.4657693,237.9995402,216.8530939,267.0746493,180.1025733,328.1696376,635.3596391,107.6250207,402.4964095,1063.772894,394.7246975,541.4898468,190.7226365,321.7582585,182.9429783,111.5300462,280.324132,375.5184567,263.9121949,283.2938365,373.1158082,265.6603424,308.5051495,602.075934,216.6760969,1669.285186,385.2671847,482.6379363,475.1374754,598.3456314,285.2938365,376.445965,207.2087955,253.471837,1090.841167,526.5396508,271.2493069,345.5865686,537.2808667,1108.532784,203.4530585,408.4603824,541.9956656,188.9202183,338.0231848,606.5525923,363.3473791,424.0069913,363.8511991,278.7674335,446.6308464,185.2672028,516.7644739
alpha_rarefaction_1000_3.txt,1000,3,154.5823793,289.9579314,414.4124148,250.7116195,286.1864695,316.456217,257.9076118,130.2102346,161.1720019,369.3640871,188.1477409,142.3548536,340.605192,260.3158882,487.7358937,252.0299668,243.7601381,266.0898549,178.2172666,392.8131068,187.5881052,170.0200709,149.8910894,207.459559,491.6255349,248.9752519,202.7838949,376.1415148,126.200978,264.5366516,448.3661243,242.9542734,972.3804894,300.4325295,301.3981423,205.4060534,1083.851956,214.8866894,203.1005038,258.3958463,219.892628,204.1496509,244.7264105,210.9689918,397.1158082,254.2348051,236.1175639,142.7760976,958.1655557,221.2790445,285.2938365,559.4225982,463.404322,222.0164308,359.0288047,158.3524726,302.7665897,430.2048519,241.2790445,146.933265,123.3886962,199.528958,470.717115,214.099223,415.890278,168.3289162,218.1660902,184.1456792,180.445484,239.681798,162.2169638,208.2119779,216.2119779,248.1922239,274.608166,205.0381437,297.1145866,108.413259,462.7339934,669.8043485,266.8532271,325.2988947,1106.47895,303.7513212,555.9290192,106.0940086,372.284618,225.4979836,181.7315908,462.9857167,403.1365753,276.8092524,228.4496122,320.2925117,220.106894,802.3783059,412.9979161,209.6718793,1721.665295,381.9223987,314.4600576,395.8907895,257.8532271,233.3770346,320.8087143,256.8851578,167.216675,883.0977928,374.0072998,265.1389998,403.9160608,566.7042018,940.8586996,282.601161,227.6100266,380.7901239,210.9827071,304.207833,636.0919512,240.2921268,679.6987545,331.7307084,264.1342261,465.0565778,103.8335194,448.4439285
alpha_rarefaction_1000_4.txt,1000,4,112.4488175,211.2119779,199.0656694,255.3158882,213.7568141,290.9579314,389.8149599,134.3389044,119.513872,334.4791801,219.4951126,163.7583692,440.0910145,192.5881052,249.5968679,389.2658688,182.9509796,224.471837,165.216675,358.0789306,107.5760414,108.3377894,186.7531129,220.008413,711.1544827,203.2042029,267.2394433,346.4287454,161.0046873,565.9401726,600.6241787,289.0898549,1124.129827,292.6925284,234.1099005,216.6339391,1125.617646,246.2249351,215.2679706,354.9787023,271.7770358,220.4134743,199.9761225,153.8430068,321.9669908,207.9892929,154.2808952,165.2941719,1126.649198,218.308563,402.8310834,478.6504099,426.4142931,302.460051,232.0164308,140.0866497,337.7345457,252.6436755,248.3306657,118.3283625,141.9504953,245.6895519,390.4190738,258.2900028,223.1759205,269.7116195,147.8082317,247.2900028,185.7583692,296.0931746,216.6293873,281.1864695,190.1005038,308.2428136,302.1114282,283.3958463,437.9857167,189.4582414,672.0919512,767.9292677,179.4607048,363.2011694,1121.069327,367.9613358,650.5890591,104.413259,368.2416477,179.494313,189.1724936,463.901844,428.8943401,455.0400568,239.8663809,401.7497909,260.129019,375.3417614,607.6199388,185.5497849,1785.107945,487.3669255,477.8736474,369.1469009,220.6759715,227.6753333,236.9456123,203.4462233,194.8120298,938.8420908,393.2604114,332.1994267,291.4755257,489.4818909,881.7199434,245.7228693,213.099223,582.4332184,179.4446406,323.8684806,626.5196997,251.5495175,594.107006,298.3567254,299.221545,194.1724936,143.6693593,473.5128622
