	sequences per sample	iteration	NU.39.DeMMO6.5mmPyrex.Sep2016	NU.18.DeMMO3.Steri.Dec2015	NU.25.DeMMO1.D1.sand.Sep2016	NU.54.4800.D1.SlideBlank.Sep2016	NU.44.DeMMO3.D1.wool.Sep2016	NU.45.DeMMO3.D1.sand.Sep2016	NU.48.800.D1.SlideBlank.Sep2016	NU.03.DeMMO6.Steri.2.092316	NU.37.DeMMO6.D1.sand.Sep2016	NU.05.DeMMO3.Steri.2.092116	NU.11.DeMMO6.Steri.2.120716	NU.26.DeMMO1.D1.3mmPyrex.Sep2016	NU.12.DeMMO3.Steri.1.120816	NU.36.DeMMO6.D1.wool.Sep2016	NU.24.DeMMO1.D1.wool.Sep2016	NU.15.DeMMO1.Steri.120715	NU.01.DeMMO1.Steri.1.092016	NU.46.DeMMO3.D1.3mmPyrex.Sep2016	NU.47.DeMMO3.D1.5mmPyrex.Sep2016	NU.14.DeMMO1.Steri.1.120916	NU.38.DeMMO6.D1.3mmPyrex.Sep2016	NU.20.DeMMO6.Steri.120815	NU.27.DeMMO1.D1.5mmPyrex.Sep2016	34.DeMMO3.T11.bottom.051117	9.DeMMO3.Steri.051117	25.DuselD.T9.bottom.082917	26.DeMMO3.T7.bottom.051117	11.DeMMO3.T2.bottom.083017	25.DeMMO3.T7.top.051117	22.DuselD.T8.top.082917	17.DeMMO3.T5.bottom.083017	24.DeMMO6.T6.bottom.051017	7.DeMMO1.Steri.050917	16.DeMMO3.T5.top.083017	27.DuselD.T10.bottom.082917	5.DeMMO6.Steri.021415	1.DeMMO1.steri.083117	28.DeMMO3.T8.bottom.051117	27.DeMMO3.T8.top.051117	24.DuselD.T9.top.082917	36.DeMMO3.T12.bottom.051117	32.DeMMO3.T10.bottom.051117	16.DeMMO6.T2.bottom.051017	10.DeMMO3.T2.top.083017	23.DuselD.T8.bottom.082917	18.DuselD.T6.top.082917	13.DeMMO6.T1.top.051017	15.DeMMO3.T4.bottom.083017	1.DeMMO1.Steri.021517	30.DeMMO3.T9.bottom.051117	21.DuselD.T7.bottom.082917	6.DeMMO3.Steri.021517	3.DeMMO3.steri.083117	12.DeMMO6.Steri#2.051017	6.DeMMO6.steri.082917	26.DuselD.T10.top.082917	33.DeMMO3.T11.top.051117	9.DeMMO3.T1.bottom.083017	12.DeMMO3.T3.top.083017	19.DeMMO6.T4.top.051017	17.DeMMO6.T3.top.051017	20.DuselD.T7.top.082917	7.DuselD.steri.082917	22.DeMMO6.T5.bottom.051017	14.DeMMO3.T4.top.083017	20.DeMMO6.T4.bottom.051017	15.DeMMO6.T2.top.051017	18.DeMMO6.T3.bottom.051017	21.DeMMO6.T5.top.051017	29.DeMMO3.T9.top.051117	14.DeMMO6.T1.bottom.051017	19.DuselD.T6.bottom.082917	31.DeMMO3.T10.top.051117	13.DeMMO3.T3.bottom.083017	35.DeMMO3.T12.top.051117	8.DeMMO3.T1.top.083017	27.24790.AfterPacker.051616	30.DuselB.050416	34.4100L.DrillFluid.051716	18.10dash1.051816	32.DuselB.051916	14.24790.AfterDrilling.050516	15.24790.DitchFluid.050516	28.24790.071216	19.10dash1.071116	33.DuselB.071316	16.10dash1.050216	26.DeMMO1.SC1.top.041818	31.DeMMO1.SC7.top.041818	52.DeMMO3.B.top.041718	14.DeMMO3.steri.041718	53.DeMMO3.C.top.041718	56.DeMMO3.F.top.041718	30.DeMMO1.SC5.top.041818	41.DeMMO3.3.top.041718	22.DeMMO1.C.top.041818	21.DeMMO1.B.top.041818	42.DeMMO3.4.top.041718	18.800.DitchFluid.041818	55.DeMMO3.E.top.041718	47.DeMMO1.9.top.041818	54.DeMMO3.D.top.041718	34.DeMMO1.SC10.top.041818	20.DeMMO1.A.top.041818	45.DeMMO1.7.top.041818	40.DeMMO3.2.top.041718	43.DeMMO3.5.top.041718	1.DeMMO1.steri.113017	29.DeMMO1.SC4.top.041818	44.DeMMO3.6.top.041718	51.DeMMO3.A.top.041718	3.DeMMO3.steri.112717	12.DeMMO1.steri.041818	39.DeMMO3.1.top.041718	17.DeMMO6.041618	50.DeMMO1.12.top.041818	46.DeMMO1.8.top.041818	49.DeMMO1.11.top.041818	28.DeMMO1.SC3.top.041818	48.DeMMO1.10.top.041818	24.DeMMO1.E.top.041818	27.DeMMO1.SC2.top.041818	33.DeMMO1.SC9.top.041818	32.DeMMO1.SC8.top.041818	6.DeMMO6.steri.112817	23.DeMMO1.D.top.041818
alpha_rarefaction_500_0.txt	500	0	145.228983764	219.559904086	113.200977958	591.398926132	264.352537663	301.663730823	535.347080841	107.05375962	142.472834607	324.292511667	211.306700879	137.227915808	441.416357234	240.452788302	216.665007827	158.654933267	189.507752923	205.816979195	127.354853606	373.57118403	109.43501648	105.05375962	133.200977958	186.267970554	434.755982533	248.429986616	180.069364088	340.321317434	101.841442733	266.957053463	158.613523681	181.223691884	1011.38066271	289.033574539	222.675971549	201.736126656	790.530934996	215.224935146	225.044468682	361.775075488	171.732827401	321.736781755	168.467362492	195.217968495	201.936081588	313.335801948	318.164414499	141.316549264	1195.58595518	248.305496282	208.432707349	462.61342009	429.140399223	479.015788143	136.082893962	182.367634752	255.969314029	460.833385563	266.777035839	130.548740233	217.569382806	236.393108207	374.814959877	164.696511924	194.736126656	173.48990265	323.332863929	149.53908988	172.027922067	184.254395152	113.448817514	220.740423576	210.065669391	130.616910277	181.461726909	167.311031337	364.006003412	131.533318919	581.778113082	674.823650723	97.413258974	343.146900868	1276.04932047	323.595092942	488.149480234	83.6026603795	290.097304365	71.431239201	130.601920038	236.445096285	390.859244342	438.632825538	222.741822692	377.171755682	290.033574539	380.460382411	409.217546099	175.299322082	1487.23594869	274.819628465	363.344805756	235.069252059	293.097361399	307.679422181	226.109900485	241.100493567	158.889129068	694.48356472	476.729346454	217.201766848	197.433615738	412.672423835	889.826103456	215.528958037	219.172493583	371.057399705	259.205214785	270.7665897	279.221544991	264.089854885	625.450434457	248.305496282	231.076021628	279.857724178	122.119475901	386.715879992
alpha_rarefaction_500_1.txt	500	1	98.8414427332	232.619159239	150.713929134	237.489920988	233.973959201	354.197288504	299.106535405	149.756074469	252.761497153	372.16315382	149.325847611	148.217266613	333.634713944	173.102573268	336.705949789	143.338904417	210.962304487	223.379245785	157.253656992	315.319359098	146.79139242	90.5331384046	105.081740093	290.935143283	441.595282968	290.76892477	185.497520837	206.869621611	88.6496062737	198.35033029	238.393108207	255.234805149	950.813157802	315.257686142	365.731155034	174.079081343	789.01292726	199.75681414	193.718066386	215.239443335	278.937233689	285.756426497	276.732762766	178.786542737	255.205214785	209.200007585	154.467362492	175.075319312	1054.79252941	247.372780734	183.96899183	812.537295307	432.985716707	118.05375962	258.750807543	134.840709824	186.793160682	166.450607507	323.03153892	122.876099758	139.953943173	212.741822692	292.099926104	236.319406805	186.495112619	133.986431171	275.979712264	195.701804201	147.082893962	276.227972252	144.654933267	232.11756388	277.232746621	646.498949349	193.495112619	187.730263353	393.890277952	198.349847618	449.598707498	475.195764932	337.225188972	281.491294084	1007.14538644	277.970707979	641.191731089	91.5480022935	276.245060681	352.323953562	76.6334557376	315.456216966	479.650735471	245.874496952	179.049653308	310.047253562	165.853006081	229.42535753	327.39897123	178.147740856	1074.02228722	441.596444499	354.023761226	278.990689412	324.225188972	187.099222964	168.079081343	172.446223278	191.176422243	872.85974803	316.244954368	207.015392024	309.30286634	355.347379062	1114.90275194	229.815686506	170.760571298	342.715979979	194.485457891	189.374993669	429.948108796	280.808586537	413.041625099	233.975251902	277.756426497	136.854767389	228.037063077	316.188029532
alpha_rarefaction_500_2.txt	500	2	88.5331384046	184.495112619	176.942978302	237.489920988	243.192223864	209.85048086	531.882456845	75.9895757898	157.756074469	295.523117103	182.530297682	196.306700879	251.777035839	218.675456949	172.481061046	180.447587434	203.075319312	176.876908677	211.690822089	386.819698161	128.538910392	83.2040121977	149.44852899	208.052404132	324.253132583	294.15124688	171.968981405	192.942978302	191.349847618	168.760138059	198.47979705	217.107102051	977.72121035	293.114586604	221.497983628	217.016430839	833.651381249	206.610026589	177.066903591	188.325455858	170.628790403	238.076021628	175.450607507	325.947253374	197.75681414	173.744668847	255.761497153	147.249401754	694.442282128	233.959299855	164.070241881	641.197688525	322.43937439	142.445484046	354.025217946	139.172528721	228.319406805	325.164414499	263.596867898	185.547865069	168.145679215	228.11756388	737.939599186	198.585222011	195.736126656	106.773539369	181.945412796	254.994162113	137.9959274	240.975251902	292.360405493	135.082893962	285.678865882	181.367682035	324.11689392	272.283992735	405.383686623	98.0940086006	349.188800779	643.459433957	127.760972349	260.922125277	961.561490427	322.292511667	592.437158032	176.85036213	391.953892887	147.756074469	244.806976886	339.939396241	375.659613683	205.75681414	205.374993669	368.082799999	202.958143246	269.033574539	400.749790878	245.437200037	1240.85984509	279.089854885	415.305997121	281.293836514	99.8932637535	315.627619554	352.676829097	233.747733894	173.467362492	623.483044111	622.450434457	273.819628465	330.047253562	338.537040159	789.771890099	247.748645379	239.11756388	289.335086769	144.483508362	282.678865882	459.817394703	217.726410531	377.759264622	370.757674529	229.619159239	89.949390055	146.363943081	337.560378927
alpha_rarefaction_500_3.txt	500	3	108.463546573	150.21696384	170.460704783	146.854767389	179.433615738	367.320403688	402.537672333	107.020744446	147.160369358	214.224935146	196.805171613	120.777691035	300.810136343	225.014305689	169.971045713	200.787818222	166.835918762	212.38410982	126.403893355	363.092067897	106.331816964	89.094551099	120.331816964	186.021363669	412.981860929	263.352537663	178.232296404	225.38410982	133.1720019	141.33815315	224.38410982	233.471836958	910.747354754	260.068550149	240.969314029	170.232296404	968.893005387	174.455096082	203.526573244	182.75681414	349.882794058	329.265182711	200.69689314	193.96899183	231.414271253	176.839003276	159.753112859	145.180782602	667.587932446	268.352537663	344.882794058	570.264578286	341.805201172	301.663730823	234.38410982	154.180782602	296.460051046	267.154183084	222.954273403	121.806982678	195.532384058	199.052404132	498.70260354	206.676942154	285.514129018	170.004687329	353.197288504	158.206069635	150.735638966	186.853093909	155.390942787	335.417542928	194.380763983	307.467597082	205.347612453	210.936081588	254.539740837	119.834679226	474.21129988	791.307535927	118.119475901	351.538987693	949.393359336	259.912857915	540.715605903	60.4338008857	274.668813526	97.3150398834	220.781899112	369.676829097	351.040659808	457.510437827	219.148469268	409.204851853	192.844462329	598.578658495	297.523117103	229.689086649	1591.45066629	302.106535405	526.06814371	235.469496309	120.533627549	230.11756388	215.748645379	253.044448099	158.070241881	706.348128222	291.682475241	234.690822089	223.044468682	493.588285975	1147.62110188	274.643675461	153.33815315	278.7665897	249.239471181	290.03466362	358.168880233	301.30286634	651.760614723	292.460051046	194.989292911	335.16645976	106.841442733	373.859244342
alpha_rarefaction_500_4.txt	500	4	181.093075049	218.559904086	134.911584832	108.410389245	215.690822089	224.973959201	265.047426689	140.233598257	137.66935932	327.199268336	132.075526674	166.768707684	271.990689412	277.923090751	300.78418457	161.996997624	197.291033174	173.460704783	156.253656992	332.065693538	130.472834607	58.5054261961	173.471836623	191.418676437	457.672572988	415.204851853	199.015392024	331.467768353	105.263364167	248.994162113	268.247415743	203.736126656	1094.10474958	285.281173176	240.711619485	167.038844933	1339.75526133	200.406347353	202.48136018	373.917227927	203.306700879	226.437200037	229.665007827	198.495112619	450.510437827	175.839003276	120.119475901	279.937233689	799.914587917	212.85048086	437.135888955	415.573502943	379.467492108	188.58810519	185.406053404	198.805171613	194.532384058	214.816979195	228.747733894	184.860307936	172.161159533	206.107102051	409.292427905	278.945096381	154.21696384	202.731590811	153.462936612	198.374993669	128.481029264	278.970707979	101.116669596	225.319406805	175.967170131	162.48990265	229.239443335	293.639743284	325.918979366	126.786265953	404.715879992	514.952470534	96.5480022935	293.887291468	1067.64612349	229.251274642	459.459178358	164.102573268	333.269474911	157.026132428	267.499169505	218.675333258	334.309014774	214.432707349	207.201766848	360.891800463	261.401021659	394.749790878	379.954273565	192.458792697	1044.20487791	430.387939162	415.305997121	311.235981813	108.892639567	274.937233689	277.691100651	182.535620284	154.734920215	787.665241747	521.641602901	274.246330906	303.76892477	425.008137949	746.223439033	277.395846255	228.971126558	592.826442253	199.325455858	220.29000281	341.366699671	305.454002913	370.757674529	229.804226101	253.536651639	142.79139242	141.189712473	580.107005959
alpha_rarefaction_500_5.txt	500	5	94.1641027057	278.756426497	119.119475901	76.8501466935	207.347612453	172.406053404	250.317083894	160.893572596	135.590890964	424.505412672	119.703973089	168.223691884	220.069252059	146.160369358	191.47979705	144.200977958	191.351660746	314.164414499	145.33815315	303.390434546	112.612687781	136.601920038	95.9584266655	348.882794058	338.250845231	198.394822928	211.432707349	198.35033029	117.612687781	164.628790403	202.35033029	188.495112619	820.94284998	246.611664222	266.979712264	221.559904086	864.885076478	193.418676437	389.320403688	281.291745517	176.632377662	558.759678556	159.101140931	228.290170786	208.998378821	195.394822928	167.753112859	145.316549264	814.998235819	226.53218644	220.601161012	369.122038672	326.730708432	124.507016892	213.629387295	137.446451427	415.582646096	167.079081343	268.252684115	161.253656992	163.206069635	221.010094939	383.338169332	226.547558547	373.319471709	157.696511924	281.678865882	202.35033029	198.585222011	268.994162113	152.363943081	169.812029847	188.96899183	253.429986616	197.736126656	309.810136343	309.919838217	150.79139242	353.856321899	600.430993547	129.44852899	319.332516027	1073.93464283	305.332516027	620.147957455	73.306830345	398.740311168	124.44852899	239.43079508	261.068550149	366.913870065	357.499397828	278.232746621	249.972569709	169.834282642	481.572925124	559.778113082	181.671879266	1089.14393649	315.257686142	331.856321899	288.779264187	219.781899112	239.239471181	465.418525063	219.070410969	357.197288504	956.948303761	332.762734501	193.020054035	214.514046327	566.209141961	776.366277415	232.681419324	283.732762766	209.374283543	166.070241881	212.559904086	645.03405413	427.871116873	447.692602681	246.372780734	319.939396241	715.888848214	128.345667008	420.352921284
alpha_rarefaction_500_6.txt	500	6	120.568610123	201.175920535	140.160369358	133.82180871	284.514129018	231.076021628	211.18986726	126.538910392	132.345667008	351.851199066	196.418676437	151.996997624	250.068550149	106.841442733	232.971545967	251.422941316	186.216896742	199.690822089	128.436063137	387.6892076	131.349434382	87.1544215101	164.228983764	203.347612453	429.901843958	246.429986616	207.736126656	386.061519215	98.3377894227	156.900201661	118.513872022	161.462936612	1278.31279345	191.910970964	326.417802025	183.481061046	928.434096722	193.793160682	191.406053404	328.175486921	183.718066386	242.393108207	220.559904086	161.734920215	253.047426689	178.787818222	195.514046327	187.259925689	885.911473534	223.319406805	135.416019827	406.045078789	450.429188092	181.805171613	247.797736884	179.968981405	210.172493583	221.029966785	237.406811385	135.854164249	168.206069635	193.864099746	345.054499054	226.008902084	179.893572596	144.445484046	168.760138059	310.78418457	147.099837608	206.864099746	137.431203687	327.988058484	147.431203687	194.989717572	301.242813617	245.975251902	212.689086649	171.491518342	264.292147809	620.617377858	105.337789423	304.899120844	1292.02144215	228.190530361	610.9838682	86.9142711523	306.692370268	130.472834607	132.450263602	297.335086769	300.911500879	401.171755682	176.732827401	384.890277952	223.533942497	338.028804727	558.512770729	171.228894803	1702.8390857	253.240880325	658.386203973	278.093174631	139.79139242	262.246330906	234.975251902	208.758825639	202.166090228	961.42740094	255.654173713	282.640251072	224.148469268	431.505412672	646.560499868	203.983035204	259.331428356	414.140399223	279.937233689	287.297511485	602.925563151	492.8475412	279.780997371	212.85048086	230.975251902	149.471836623	132.513973277	375.757674529
alpha_rarefaction_500_7.txt	500	7	143.79139242	256.536651639	197.816979195	129.345667008	258.205214785	205.91836825	258.926327966	129.760972349	108.758855979	319.250073419	296.291745517	140.431203687	344.376504277	146.363943081	280.947665788	261.729619764	193.198563252	266.979712264	202.514046327	399.14733943	182.722636511	129.44852899	97.9584266655	188.96899183	397.807190238	133.325847611	267.994162113	229.11756388	220.037063077	159.035980695	287.052383742	188.099222964	899.897968934	274.555988932	123.076769598	181.547865069	865.641590286	171.066903591	208.347612453	441.510437827	270.990689412	265.283992735	180.232525487	230.437200037	334.428745405	156.447587434	117.111096682	155.543533683	728.195876383	161.266360134	274.706679327	464.719763533	377.836401641	367.452578488	171.628790403	145.294171941	231.973959201	380.171755682	195.43183432	147.710764031	148.141238638	194.989292911	427.429666224	193.204202855	188.839003276	191.176422243	142.174903454	248.711619485	125.64629835	223.741822692	154.568114985	187.204202855	214.394822928	402.808378702	265.59113284	231.437200037	291.460051046	169.102573268	675.855914023	610.414348809	134.189712473	330.032351229	1027.04688329	445.407907489	520.593928941	128.44852899	380.823231007	88.1642926697	158.206098184	250.109900485	333.103038507	279.352537663	267.994162113	369.789468903	223.06578262	322.443977085	390.408915144	178.266360134	1524.49903529	513.470221428	552.600879771	289.352537663	199.9801053	274.180960714	286.935143283	306.697157705	161.070241881	727.710611143	342.376504277	223.998378821	296.291745517	393.872448876	928.979546768	240.954273403	169.269203992	280.565412939	225.601161012	154.968981405	449.190618241	327.939396241	323.813679641	194.526573244	241.346820108	91.8928407459	130.513973277	442.948108796
alpha_rarefaction_500_8.txt	500	8	115.932428738	186.495112619	131.349434382	107.315039883	251.503017354	410.387939162	283.099926104	189.548295815	106.548740233	294.221544991	215.394822928	258.972569709	255.788099046	237.729619764	270.025621975	163.889129068	169.76938071	202.816979195	143.322196753	331.915690412	160.630813073	103.315039883	121.446225715	213.107102051	531.54576217	134.180782602	299.682475241	234.497983628	218.037063077	164.134775885	291.783385361	195.532384058	1062.37452747	291.808586537	193.172493583	202.374993669	1031.61677019	164.266360134	183.497520837	261.154183084	202.374993669	228.53218644	162.900201661	170.158991938	325.813679641	134.828831202	133.322196753	215.016430839	720.122895859	199.008413012	447.350022174	460.14841974	389.882903254	168.860307936	171.467362492	176.671879266	240.196853885	497.933684549	223.047854412	106.291949965	143.998392773	194.989292911	509.347757201	268.885671342	139.685070033	187.460704783	177.223691884	187.805171613	158.216675038	331.918979366	108.985814806	154.233598257	233.471836958	158.568114985	209.85048086	222.748645379	250.234805149	120.612687781	432.957378661	656.430116623	69.1616936385	380.057399705	851.914389037	246.401021659	464.17396267	91.9624781992	390.419750219	249.806976886	212.037063077	297.335086769	410.549076418	287.7665897	224.008902084	192.477776051	236.945612344	389.487245611	490.163800217	221.347612453	1392.36325639	402.408915144	286.523117103	353.467017963	322.960638338	508.435525906	246.532938349	275.047426689	175.967170131	983.556215584	207.998378821	256.240880325	204.008413012	405.646094873	809.090526796	221.579429704	245.221936134	312.23982639	184.267970554	417.26701165	467.436046756	394.190326168	472.466104153	486.211002981	318.047253562	164.369746127	122.530046234	472.440561834
alpha_rarefaction_500_9.txt	500	9	161.206098184	237.393108207	307.265182711	127.568610123	242.317083894	287.935143283	301.465769324	264.767439508	249.452788302	291.505149527	170.161159533	168.049653308	271.354495482	155.228983764	315.486648512	240.961163054	185.453058459	170.460704783	154.462936612	350.18075985	108.43501648	170.369746127	157.854767389	139.272013145	328.46501064	316.332863929	236.109900485	165.450607507	139.853542266	200.514046327	196.306700879	303.242813617	863.762853753	319.808714338	127.778255794	287.756426497	902.923802496	192.745951379	185.838612755	181.176422243	293.242813617	196.526573244	218.559904086	371.949173318	254.819628465	164.768707684	191.69689314	174.223691884	768.099584649	387.120706721	435.135888955	504.861360108	310.0280743	257.091832345	205.864099746	193.497520837	178.049653308	334.417802025	198.878629862	143.927654079	158.53908988	265.916701934	318.414592279	223.008902084	295.530524011	247.144442627	221.53218644	164.027922067	146.272013145	272.283992735	144.911584832	240.532938349	284.7665897	474.599812844	139.233989261	180.367634752	391.537672333	77.4926094215	302.106535405	646.301442823	179.85036213	215.058559499	1046.92014989	253.99890881	434.061083012	69.5445519445	280.334364015	245.43079508	131.192267328	235.66034242	360.132819596	344.428745405	171.900201661	311.335801948	289.099926104	357.023761226	397.537672333	258.760715414	1071.2707385	287.970707979	269.970707979	339.918979366	151.020070871	270.352537663	266.227972252	211.679540595	211.689086649	754.931788922	312.292511667	241.726410531	285.706679327	404.646094873	683.446664602	244.954273403	184.786542737	372.89767301	198.374993669	245.331428356	368.139093848	300.808714338	541.970830985	389.120706721	199.306700879	213.037063077	101.413258974	475.935388556
alpha_rarefaction_1000_0.txt	1000	0	88.2095848546	282.970707979	297.772697093	178.461726909	312.351827951	248.414271253	252.081147759	244.971545967	167.269203992	326.671720106	235.689086649	177.760571298	297.354495482	155.294218035	773.721563137	236.629387295	215.174903454	243.372780734	213.217968495	421.344557378	155.160369358	144.1720019	163.911584832	214.050903882	553.260373488	249.240880325	249.129018979	229.601161012	173.971045713	198.528958037	387.097994761	227.719709251	1019.87789281	471.640240739	202.48136018	218.204202855	1389.86312919	239.18986726	280.346820108	315.955407053	167.723680564	250.579410795	329.467597082	259.109900485	357.467017963	231.319406805	268.994162113	168.037062856	1045.37515428	262.766414164	285.903461432	566.221105363	400.615195893	317.663730823	269.161625955	143.695795762	199.259925689	258.234805149	231.705036304	164.076769598	173.685070033	253.830315617	448.847938423	251.125654086	237.601161012	245.471836958	200.96899183	300.808586537	137.674099165	305.354495482	130.73161518	243.251274642	247.20750028	645.025604553	269.068550149	199.291033174	370.007299769	170.893572596	426.220208675	701.856997778	194.722636511	325.542037665	1127.69296815	435.171624151	530.669672259	114.08894542	319.526214378	161.768707684	227.52064876	393.851199066	435.531107563	278.127146381	291.093174631	410.98829867	211.597586244	443.755982533	362.493290549	184.802674411	1901.77468691	362.250845231	326.672964529	323.565412939	247.43079508	267.396452575	351.840693483	223.893974712	191.786542737	914.322694913	348.146900868	222.56498808	243.687233181	519.831517522	1187.44800815	218.888606796	216.976122541	435.091014451	211.958143246	262.047426689	514.850372189	273.097803161	401.801460375	298.007404507	273.499269659	386.670297495	304.719994782	602.776584544
alpha_rarefaction_1000_1.txt	1000	1	106.758855979	223.533942497	355.949173318	192.532384058	268.401021659	271.336909536	402.89767301	407.582646096	180.563222213	368.118111576	185.816012754	181.079081343	348.163865191	206.35033029	296.460051046	405.731155034	198.992591289	336.417542928	190.812029847	396.146865468	152.160369358	133.345667008	214.093075049	268.830315617	409.897071107	254.401021659	297.511126923	380.344805756	172.563222213	228.601161012	208.676942154	219.406347353	1411.84847088	287.881271591	316.86848063	215.485457891	1303.63915015	251.024938557	164.436063137	304.351298383	242.601161012	263.717108728	262.797736884	205.962304487	258.523727316	204.325455858	193.204202855	225.736126656	1109.6696894	309.808586537	308.729803781	410.607236982	622.619938848	289.514129018	228.107102051	182.180782602	251.239443335	237.239443335	271.190530361	148.9959274	177.828831202	279.076588834	618.922863199	362.188800779	271.539740837	159.162345256	189.530297682	328.254634162	142.950495341	240.015952303	190.96899183	341.918979366	310.106535405	272.18646952	256.608871484	196.144981689	258.766414164	112.337789423	432.962989405	755.900464121	139.590890964	359.484340269	1242.84072057	458.39926984	608.8020322	153.854767389	359.572260718	148.613523681	233.729619764	396.476959959	440.675400168	457.985716707	221.48136018	333.328070086	225.459559022	485.436706573	527.162431537	195.187038247	1866.29484459	343.117587397	389.675491022	348.765505772	236.729619764	281.093174631	275.47552574	222.298098908	208.211977859	971.963282199	412.718040911	254.30716269	329.21284895	548.987863193	1174.07528195	241.117323479	410.25434046	539.669898798	253.251274642	338.634713944	526.688710849	314.656541003	374.007299769	268.143502671	591.246540825	452.166288767	117.57604138	336.113600489
alpha_rarefaction_1000_2.txt	1000	2	113.446225715	294.180960714	248.205214785	206.306700879	261.044448099	280.703799191	348.730708432	210.629387295	197.787818222	294.959405449	157.76938071	222.107102051	389.27741513	287.215342191	261.994162113	199.547865069	212.082893962	233.196853885	179.72702372	372.219267853	160.447587434	114.020744446	307.530524011	266.549613057	527.596955086	285.033574539	245.604611874	195.406053404	303.78418457	243.109900485	241.471836958	294.990689412	1005.26209227	296.310341885	359.261612877	297.033574539	1086.24600241	215.808404898	195.266360134	226.747733894	210.145667112	231.681419324	143.9959274	176.112187945	269.143502671	220.85048086	157.764969609	174.828320592	1012.62465021	344.595092942	248.719053792	628.805682193	599.433218408	159.218477009	224.166090228	160.910932401	197.254395152	261.596867898	306.391478545	213.805171613	190.996997624	232.954273403	524.224856451	230.201766848	294.232746621	214.736126656	236.290170786	241.726410531	136.653676448	229.758825639	154.169150845	180.311031337	264.830315617	306.465769324	237.999540195	216.853093909	267.074649266	180.102573268	328.169637578	635.359639076	107.625020664	402.496409452	1063.77289437	394.724697528	541.489846805	190.722636511	321.758258494	182.942978302	111.530046234	280.32413202	375.518456668	263.912194948	283.293836514	373.115808215	265.66034242	308.505149527	602.07593395	216.676096884	1669.28518578	385.26718473	482.637936258	475.137475379	598.345631387	285.293836514	376.44596495	207.208795529	253.471836958	1090.84116749	526.539650775	271.249306945	345.586568634	537.280866702	1108.53278365	203.453058459	408.460382411	541.995665622	188.920218311	338.023184759	606.552592272	363.347379062	424.006991283	363.851199066	278.767433499	446.630846422	185.267202808	516.764473922
alpha_rarefaction_1000_3.txt	1000	3	154.58237934	289.957931413	414.412414814	250.711619485	286.18646952	316.456216966	257.907611811	130.210234649	161.1720019	369.364087077	188.147740856	142.354853606	340.60519201	260.315888207	487.735893736	252.029966785	243.760138059	266.089854885	178.217266613	392.813106753	187.58810519	170.020070871	149.891089409	207.459559022	491.625534948	248.975251902	202.783894878	376.141514837	126.200977958	264.536651639	448.366124283	242.954273403	972.380489413	300.432529451	301.398142271	205.406053404	1083.85195556	214.886689359	203.100503782	258.395846255	219.892628011	204.14965094	244.726410531	210.96899183	397.115808215	254.234805149	236.11756388	142.776097559	958.165555678	221.279044452	285.293836514	559.422598237	463.404322017	222.016430839	359.028804727	158.352472556	302.7665897	430.204851853	241.279044452	146.933265017	123.388696218	199.528958037	470.717114991	214.099222964	415.890277952	168.328916233	218.166090228	184.145679215	180.445484046	239.681797982	162.21696384	208.211977859	216.211977859	248.192223864	274.608166031	205.038143692	297.114586604	108.413258974	462.73399341	669.804348481	266.853227101	325.298894665	1106.47895042	303.751321157	555.929019237	106.094008601	372.284617994	225.497983628	181.731590811	462.985716707	403.136575282	276.80925241	228.449612244	320.292511667	220.106894048	802.378305895	412.997916115	209.671879266	1721.66529511	381.922398745	314.460057619	395.890789549	257.853227101	233.377034634	320.808714338	256.885157777	167.216675038	883.09779275	374.007299769	265.138999845	403.916060789	566.704201812	940.858699616	282.601161012	227.610026589	380.790123942	210.982707069	304.207832978	636.09195117	240.292126778	679.698754489	331.730708432	264.134226063	465.056577776	103.833519402	448.443928492
alpha_rarefaction_1000_4.txt	1000	4	112.448817514	211.211977859	199.065669391	255.315888207	213.75681414	290.957931413	389.814959877	134.338904417	119.513872022	334.479180117	219.495112619	163.758369248	440.091014451	192.58810519	249.596867898	389.265868789	182.95097958	224.471836958	165.216675038	358.078930572	107.57604138	108.337789423	186.753112859	220.008413012	711.154482658	203.204202855	267.239443335	346.428745405	161.004687329	565.940172571	600.624178702	289.089854885	1124.12982706	292.69252837	234.109900485	216.633939063	1125.61764598	246.224935146	215.267970554	354.978702315	271.777035839	220.413474349	199.976122541	153.843006825	321.966990831	207.989292911	154.28089523	165.294171941	1126.64919761	218.308562992	402.831083435	478.650409879	426.414293083	302.460051046	232.016430839	140.086649734	337.734545669	252.643675461	248.330665656	118.32836252	141.950495341	245.689551883	390.419073802	258.29000281	223.175920535	269.711619485	147.80823169	247.29000281	185.758369248	296.093174631	216.629387295	281.18646952	190.100503782	308.242813617	302.111428225	283.395846255	437.985716707	189.458241422	672.09195117	767.929267668	179.460704783	363.20116941	1121.06932708	367.961335817	650.589059147	104.413258974	368.24164772	179.494313027	189.172493583	463.901843958	428.894340062	455.040056778	239.866380856	401.749790878	260.129018979	375.341761399	607.619938848	185.549784885	1785.10794527	487.366925458	477.873647371	369.146900868	220.675971549	227.675333258	236.945612344	203.446223278	194.812029847	938.842090846	393.260411359	332.199426678	291.47552574	489.481890871	881.719943385	245.722869349	213.099222964	582.433218408	179.444640627	323.86848063	626.519699702	251.549517518	594.107005959	298.356725371	299.221544991	194.172493583	143.66935932	473.512862178
