,sequences per sample,iteration,NU.39.DeMMO6.5mmPyrex.Sep2016,NU.18.DeMMO3.Steri.Dec2015,NU.25.DeMMO1.D1.sand.Sep2016,NU.54.4800.D1.SlideBlank.Sep2016,NU.44.DeMMO3.D1.wool.Sep2016,NU.45.DeMMO3.D1.sand.Sep2016,NU.48.800.D1.SlideBlank.Sep2016,NU.03.DeMMO6.Steri.2.092316,NU.37.DeMMO6.D1.sand.Sep2016,NU.05.DeMMO3.Steri.2.092116,NU.11.DeMMO6.Steri.2.120716,NU.26.DeMMO1.D1.3mmPyrex.Sep2016,NU.12.DeMMO3.Steri.1.120816,NU.36.DeMMO6.D1.wool.Sep2016,NU.24.DeMMO1.D1.wool.Sep2016,NU.15.DeMMO1.Steri.120715,NU.01.DeMMO1.Steri.1.092016,NU.46.DeMMO3.D1.3mmPyrex.Sep2016,NU.47.DeMMO3.D1.5mmPyrex.Sep2016,NU.14.DeMMO1.Steri.1.120916,NU.38.DeMMO6.D1.3mmPyrex.Sep2016,NU.20.DeMMO6.Steri.120815,NU.27.DeMMO1.D1.5mmPyrex.Sep2016,34.DeMMO3.T11.bottom.051117,9.DeMMO3.Steri.051117,25.DuselD.T9.bottom.082917,26.DeMMO3.T7.bottom.051117,11.DeMMO3.T2.bottom.083017,25.DeMMO3.T7.top.051117,22.DuselD.T8.top.082917,17.DeMMO3.T5.bottom.083017,24.DeMMO6.T6.bottom.051017,7.DeMMO1.Steri.050917,16.DeMMO3.T5.top.083017,27.DuselD.T10.bottom.082917,5.DeMMO6.Steri.021415,1.DeMMO1.steri.083117,28.DeMMO3.T8.bottom.051117,27.DeMMO3.T8.top.051117,24.DuselD.T9.top.082917,36.DeMMO3.T12.bottom.051117,32.DeMMO3.T10.bottom.051117,16.DeMMO6.T2.bottom.051017,10.DeMMO3.T2.top.083017,23.DuselD.T8.bottom.082917,18.DuselD.T6.top.082917,13.DeMMO6.T1.top.051017,15.DeMMO3.T4.bottom.083017,1.DeMMO1.Steri.021517,30.DeMMO3.T9.bottom.051117,21.DuselD.T7.bottom.082917,6.DeMMO3.Steri.021517,3.DeMMO3.steri.083117,12.DeMMO6.Steri#2.051017,6.DeMMO6.steri.082917,26.DuselD.T10.top.082917,33.DeMMO3.T11.top.051117,9.DeMMO3.T1.bottom.083017,12.DeMMO3.T3.top.083017,19.DeMMO6.T4.top.051017,17.DeMMO6.T3.top.051017,20.DuselD.T7.top.082917,7.DuselD.steri.082917,22.DeMMO6.T5.bottom.051017,14.DeMMO3.T4.top.083017,20.DeMMO6.T4.bottom.051017,15.DeMMO6.T2.top.051017,18.DeMMO6.T3.bottom.051017,21.DeMMO6.T5.top.051017,29.DeMMO3.T9.top.051117,14.DeMMO6.T1.bottom.051017,19.DuselD.T6.bottom.082917,31.DeMMO3.T10.top.051117,13.DeMMO3.T3.bottom.083017,35.DeMMO3.T12.top.051117,8.DeMMO3.T1.top.083017,27.24790.AfterPacker.051616,30.DuselB.050416,34.4100L.DrillFluid.051716,18.10dash1.051816,32.DuselB.051916,14.24790.AfterDrilling.050516,15.24790.DitchFluid.050516,28.24790.071216,19.10dash1.071116,33.DuselB.071316,16.10dash1.050216,26.DeMMO1.SC1.top.041818,31.DeMMO1.SC7.top.041818,52.DeMMO3.B.top.041718,14.DeMMO3.steri.041718,53.DeMMO3.C.top.041718,56.DeMMO3.F.top.041718,30.DeMMO1.SC5.top.041818,41.DeMMO3.3.top.041718,22.DeMMO1.C.top.041818,21.DeMMO1.B.top.041818,42.DeMMO3.4.top.041718,18.800.DitchFluid.041818,55.DeMMO3.E.top.041718,47.DeMMO1.9.top.041818,54.DeMMO3.D.top.041718,34.DeMMO1.SC10.top.041818,20.DeMMO1.A.top.041818,45.DeMMO1.7.top.041818,40.DeMMO3.2.top.041718,43.DeMMO3.5.top.041718,1.DeMMO1.steri.113017,29.DeMMO1.SC4.top.041818,44.DeMMO3.6.top.041718,51.DeMMO3.A.top.041718,3.DeMMO3.steri.112717,12.DeMMO1.steri.041818,39.DeMMO3.1.top.041718,17.DeMMO6.041618,50.DeMMO1.12.top.041818,46.DeMMO1.8.top.041818,49.DeMMO1.11.top.041818,28.DeMMO1.SC3.top.041818,48.DeMMO1.10.top.041818,24.DeMMO1.E.top.041818,27.DeMMO1.SC2.top.041818,33.DeMMO1.SC9.top.041818,32.DeMMO1.SC8.top.041818,6.DeMMO6.steri.112817,23.DeMMO1.D.top.041818
alpha_rarefaction_500_0.txt,500,0,54.65445105,110.6966363,52.11796415,134.9626746,124.3415119,120.6251992,218.2625622,55.46777179,64.17261405,164.0751013,110.5249877,80.42915426,192.2195743,84.36799337,88.28516088,94.59454066,139.4360033,83.60340885,85.18371955,260.721735,47.98085159,53.46777179,72.11796415,114.0394567,229.3363988,100.6899087,112.9232156,120.6608665,52.46473268,105.5931808,85.60320069,106.3436818,566.6821038,152.6635775,72.98524783,114.1642974,491.4906775,127.8017591,129.4140797,137.6922922,93.9499785,133.8303991,91.74302475,110.9044257,113.4570768,91.87304065,99.24023552,92.96237067,621.2933784,122.0938633,116.7594334,248.999334,206.8369656,119.5731639,87.13764186,119.6145613,113.5619455,147.006155,154.3082209,88.09528635,125.0722404,113.2507817,200.5427195,95.80396221,107.1642974,98.01206726,125.4042479,93.91325142,103.1518283,119.8357623,60.29542807,101.6294669,104.9796892,76.98225153,103.4941575,103.4920061,161.2414126,46.44664201,236.6899994,406.309111,51.68744339,199.3535981,718.4684828,167.372362,324.4687289,36.44329722,205.5740544,38.88543585,41.4963668,134.8764368,210.8403954,188.0257543,121.5695146,130.391976,153.6635775,173.5522602,185.8225733,116.4792061,828.3637377,152.0573755,154.6054336,142.7601697,48.99289001,139.0156348,123.5341813,153.4705706,89.50809894,426.8593935,160.7412299,135.7537554,122.7239496,216.5460303,478.9450408,143.6911615,102.9814703,196.8897299,129.9817518,128.2942265,134.2848817,131.9109269,226.1092646,122.0938633,106.1106799,66.40855633,63.24190491,189.2098695
alpha_rarefaction_500_1.txt,500,1,49.46473268,116.0349006,67.62268494,90.02164134,121.4670866,132.6142293,162.1378886,60.68532233,88.36326087,175.9097691,91.66946149,87.74249265,167.1801066,69.42145265,123.150556,88.76977361,145.3584275,96.01829767,89.94619147,232.5459338,53.68989143,41.29692308,69.89000726,132.9717313,198.5659998,116.4756667,114.7826432,95.14200651,47.1803472,91.61939679,115.2507817,130.2922076,557.7919923,170.7303335,91.93833985,102.2295877,494.6997319,122.2786684,111.3806279,113.1983888,134.1765296,133.018074,121.1762996,108.3755153,125.9817518,76.81582253,77.74302475,111.1353775,537.4436064,126.6432655,104.7595236,359.0057234,205.3265755,66.46777179,103.9410904,96.42942789,105.6810585,85.92764683,161.9472472,77.56485448,93.09235449,111.5695146,166.6436264,123.2317829,100.6252136,86.83085945,105.9767246,102.9828669,98.13764186,145.141274,80.59454066,113.6150887,126.1050575,148.0910054,107.6252136,117.4203201,147.3676164,65.02934882,223.4725857,323.8907914,77.2643944,184.6939145,590.3091145,152.3140311,392.7309313,44.49973334,184.296401,73.12088208,34.70342323,171.9842252,265.8754911,133.7268974,100.1762628,123.626621,119.2920568,139.2501448,165.1743793,121.8458684,670.9316476,206.8739454,167.4979648,153.0023278,64.2643944,110.9942205,96.22958774,120.4236867,98.75097148,495.7227144,142.1059211,128.1480109,152.9728952,195.888766,570.3620183,153.5832793,109.1653235,169.1720496,114.039719,96.2352322,189.4610069,142.8812141,169.3539326,122.0082826,125.018074,53.41722277,74.68524909,162.2688581
alpha_rarefaction_500_2.txt,500,2,39.29692308,98.62521359,74.01057754,90.02164134,121.4303657,112.1632873,223.552888,48.04513194,68.68532233,153.6752323,110.6160722,95.5249877,139.3082209,85.37919049,87.38150302,100.7318015,139.1353775,69.87810512,101.2928451,267.8908705,60.06169508,47.67309344,70.18330705,113.7936955,178.0802936,108.2750074,105.5001423,90.01057754,58.02934882,95.4687434,97.32146526,119.8733359,576.9668298,163.9833076,90.98496169,122.0967605,532.4725244,126.4444649,119.2856319,98.17716245,97.10704312,113.1106799,94.92764683,146.3085736,120.2786684,81.35925922,91.36326087,95.94765163,443.1366741,128.6409046,98.11035334,315.603083,184.8311559,83.9898233,144.7802633,101.2824087,115.2317829,106.2402355,144.1511133,104.1445378,112.1216492,109.6150887,281.1782044,111.8866109,108.1642974,68.99396287,98.63436566,117.4300123,93.6159341,129.0082826,101.7836433,86.13764186,124.1628597,83.58118992,138.4946438,138.7119217,164.042928,54.11350556,177.0780098,387.6109793,55.0743817,172.8395305,592.9478716,162.0751013,369.6792552,61.04849593,245.8000902,58.68532233,58.80096226,160.241789,217.2696043,128.2786684,112.2352322,119.5846542,135.3256072,132.6635775,188.9743899,136.9397954,740.7072388,146.9109269,184.3884127,162.4137546,42.04064796,145.9960991,161.6498072,142.4162186,96.74302475,389.6915855,223.1092646,151.0573755,143.626621,178.3206471,450.2500774,154.3981804,120.6150887,156.6849525,98.19766684,121.1628597,186.7596624,113.0124055,176.267283,169.210583,113.0349006,30.25727282,68.29595648,173.3027546
alpha_rarefaction_500_3.txt,500,3,41.99364245,85.92281094,71.47381101,63.41722277,104.7239496,147.3725038,168.4341734,56.66117272,72.39444824,126.8017591,108.4315584,76.0772961,147.0609724,64.63014516,77.20680192,103.728085,132.7706391,90.34140804,84.04714742,258.7982982,51.15010462,50.29195792,65.15010462,112.310997,219.5680163,123.3415119,117.6642154,103.341408,59.25746155,78.75582105,102.341408,113.4565752,536.7920749,155.6150669,98.56194545,109.6642154,571.6639604,113.4105084,118.189661,105.2786684,152.0123129,126.836288,92.49504073,114.7595236,133.4420872,84.54204201,71.88733055,96.68190108,417.9859059,128.3415119,147.0123129,286.7084773,184.7193948,120.6251992,112.341408,105.6819011,141.9754017,112.3607788,137.752038,85.96329759,106.6609291,104.7936955,231.8432251,110.1154309,124.343488,81.76631831,131.6142293,95.10510864,104.4861025,123.3470667,85.00758264,133.4079069,104.910067,127.4330014,114.4607094,122.4570768,135.4393943,52.97431229,233.0821895,447.0705037,59.24190491,197.5265298,595.3139821,141.0725283,332.9270548,39.34841172,194.5194905,41.05743635,47.02991749,178.6498072,210.729971,177.6431697,118.2790276,128.9674372,131.948612,218.9600272,155.6752323,129.00666,899.9501318,165.1378886,187.1436715,147.5377138,39.26326399,111.6150887,122.3981804,149.8827953,92.11035334,424.3702488,140.0392859,124.2928451,127.4140797,235.01518,565.3522225,162.6267647,90.75582105,136.2942265,133.5613174,122.0818653,166.7155717,144.9728952,210.265024,137.9754017,98.3473638,77.14129825,57.46473268,193.8403954
alpha_rarefaction_500_4.txt,500,4,63.47490125,109.6966363,64.28043204,55.15659365,105.2928451,112.4670866,141.7776915,68.43008471,68.15665238,183.0073483,89.90407172,82.95411685,146.0023278,90.21542709,101.0688198,94.62011936,141.6896431,74.47381101,88.94619147,241.9091221,52.17261405,38.40662174,73.06271269,113.8651533,227.0989866,134.9674372,120.1480109,112.8570403,55.87144745,111.4300123,105.9261004,116.1642974,633.1006875,155.6804522,105.5635596,94.88798673,741.2834962,121.5764901,125.8949791,142.2320052,102.5249877,117.9397954,101.2851609,112.6252136,170.6431697,83.54204201,61.24190491,135.1765296,482.7962045,115.1632873,145.9074282,242.3642689,198.5696011,91.90778604,105.4203858,110.4315584,105.6609291,92.60340885,137.4162186,97.04156231,109.929672,108.8733359,202.6929993,129.2414362,89.92281094,92.41927607,87.75992999,105.2352322,90.577861,153.3140311,63.50042483,112.2317829,99.2446273,87.01206726,127.1983888,144.0544859,151.0890408,54.04901665,207.2098695,340.7322498,49.49973334,182.5060673,641.686064,132.0875695,306.0877759,60.42145265,223.4154964,60.00221922,46.22667762,145.9286276,212.3014681,122.7594334,125.7537554,131.138282,152.4526751,182.9743899,195.9699069,126.1349379,641.3652118,181.7036484,184.3884127,176.0441103,35.12054895,130.1765296,121.0489239,128.8375579,93.51702834,479.2918104,173.4536321,146.1969191,129.4756667,208.460834,428.7103773,170.0620651,115.0247,235.5437483,109.1771624,115.3188375,166.2975487,140.9461901,169.210583,121.4919865,122.8002029,49.68989143,63.21363212,258.454174
alpha_rarefaction_500_5.txt,500,5,45.33563718,126.018074,60.24190491,53.475808,116.4607094,92.42038578,134.2865461,66.01808146,71.31832803,202.9003395,91.01424564,93.34368184,127.7601697,71.39444824,90.32146526,83.11796415,139.6126071,95.24023552,82.75582105,228.9026311,49.98811825,47.4963668,63.57202626,151.0123129,190.8190892,97.75446402,119.7594334,91.61939679,54.98811825,91.10704312,95.61939679,102.6252136,516.986447,146.4696884,96.97672456,112.6966363,539.6100085,115.8651533,169.3725038,119.041185,106.9659811,188.2593143,94.29316544,123.7231654,122.1974471,94.75446402,79.88733055,96.96237067,484.9699689,118.2057793,121.7894546,238.4753777,181.3687806,69.3297882,100.0346492,104.1723923,149.8758617,95.22958774,162.3893554,93.94619147,100.1051086,105.850644,212.2852205,109.7159933,135.7490024,88.80396221,120.1628597,95.61939679,111.8866109,131.4300123,74.29595648,101.7247876,109.7595236,105.6899087,110.1642974,156.0609724,136.1709876,57.68989143,191.4648266,370.8096776,50.18330705,180.7889886,639.4507296,166.7889886,368.5403482,47.59546501,242.1457874,45.18330705,64.71052677,156.6150669,211.0441816,166.6262177,127.1050575,101.4336104,118.0103205,201.6267175,214.6899994,118.7047539,667.1768873,170.7303335,169.4648266,169.7694792,46.02991749,123.5613174,186.1996373,144.2733495,135.6142293,522.8199877,147.4232558,129.0875853,108.7831346,244.2616977,434.7816102,151.2094022,128.1762996,125.4081449,100.1103533,103.6966363,225.4826607,164.1810411,188.1628814,125.6432655,140.241789,114.4078511,63.11020315,191.3278037
alpha_rarefaction_500_6.txt,500,6,52.99928181,111.7639119,65.39444824,67.21708553,123.343488,106.1106799,133.2059632,58.06169508,67.11020315,179.3684759,118.8651533,84.62011936,145.6150669,57.46473268,91.82835461,103.4450482,145.4067256,89.2928451,84.17556597,267.8237544,58.14938649,42.57741121,73.65445105,112.4607094,227.3228512,98.68990871,120.1642974,112.5228333,47.29602229,89.31700488,75.83767975,95.75992999,669.2426524,123.1640397,120.7472376,98.38150302,556.3310135,112.6810585,111.4203858,117.2156479,101.3806279,119.2507817,111.6966363,100.5170283,129.7776915,81.72808496,89.78313463,113.8724424,522.3265896,110.2317829,83.69214463,235.0690393,224.6085397,93.43155837,119.9318127,113.5001423,93.98147033,96.27955289,146.8120408,91.34371343,105.1051086,107.4890677,198.5085183,121.4529971,85.01808146,85.9898233,95.4687434,111.0688198,98.40679678,120.4890677,76.61101787,133.0912933,86.61101787,93.14810938,137.9709114,134.0082826,112.00666,63.5155175,166.0359403,374.6489983,54.29602229,181.8993386,710.4382269,139.3508144,365.5651079,40.41919318,208.3130516,52.17261405,46.39683813,164.6849525,191.9260064,154.391976,98.9499785,138.3676164,137.868578,157.2523935,225.6287944,116.4318168,929.4537439,141.308882,224.1222069,162.2044247,46.68989143,134.1969191,123.0082826,133.5964253,108.5060588,540.7214346,136.7471918,152.3988788,123.2790276,209.9003395,375.9478435,144.748825,126.658213,191.8369656,135.1765296,111.736962,213.5066296,189.7848042,140.6522137,115.1632873,119.0082826,49.06271269,60.0381399,174.210583
alpha_rarefaction_500_7.txt,500,7,50.68989143,125.8002029,75.60340885,64.11020315,128.9817518,101.2042087,149.1640863,57.0743817,65.3455149,161.2039669,134.041185,79.61101787,166.278309,68.29595648,103.0930118,102.9212826,138.9777963,96.97672456,96.78313463,270.3006379,69.40560079,50.18330705,65.57202626,109.7595236,212.2063785,75.66946149,130.4300123,110.6150887,66.68524909,84.79776592,119.3817731,111.9942205,528.3756651,167.2010499,70.20804694,100.1445378,537.909447,113.2856319,117.4607094,161.6431697,145.0023278,131.7119217,92.22417373,121.9397954,142.7292175,76.73180151,69.5768045,98.05851608,449.2090804,107.259439,127.1099174,250.2713696,201.7421376,114.9973502,98.10704312,104.6645357,119.4670866,133.391976,124.2227158,92.08007331,98.87513605,98.3473638,226.0501405,110.9571545,96.54204201,98.75097148,87.3061501,113.5635596,95.49846714,122.5695146,75.55924373,104.9571545,113.754464,115.4181682,138.441072,122.9397954,136.9754017,65.42145265,276.0440337,373.0816139,56.21363212,181.2037135,617.9049619,199.0889962,331.0338282,49.18330705,234.9119207,45.96328868,43.59264505,147.5341813,207.502825,139.3415119,130.4300123,131.7227372,138.9607333,155.0156079,169.4705111,124.259439,845.6825905,219.4981977,237.7001384,149.3415119,56.81119903,140.1224346,128.9717313,163.462985,95.11035334,433.211075,164.278309,137.1974471,134.041185,200.9566588,520.3836692,155.752038,93.55715174,158.1080186,126.7894546,88.5001423,182.9383865,148.241789,153.0182431,109.189661,125.8565695,32.10441516,58.0381399,202.4610069
alpha_rarefaction_500_8.txt,500,8,52.03271411,100.6252136,58.14938649,51.05743635,127.521534,161.7036484,157.6436264,65.66181631,64.09528635,149.2848817,114.754464,110.4336104,145.5378957,78.92128261,101.6349876,94.50809894,128.9624262,80.60340885,83.79156053,239.5804876,67.09036685,47.05743635,75.08658982,115.8733359,261.2449503,85.68190108,148.0392859,103.9849617,64.68524909,80.77491815,124.2011455,106.6609291,587.288416,153.8812141,76.98147033,109.2352322,611.2107607,110.259439,112.7826432,106.3607788,109.2352322,120.2057793,95.31700488,111.7413293,155.0182431,72.45172478,73.79156053,120.0967605,426.2784592,117.3338447,175.9977387,258.6692663,215.3210262,81.04156231,94.74302475,113.7047539,122.8096821,136.2945821,142.8869563,81.18995333,97.36042892,98.3473638,236.6441675,133.5494108,87.44519509,88.47381101,102.3436818,99.43155837,105.3093945,157.0890408,61.86407163,82.43008471,113.4565752,79.55924373,112.1632873,129.3981804,125.2922076,57.98811825,216.5766886,382.586033,42.34684643,205.8897299,536.5571587,137.4526751,308.8263344,48.76092328,233.3527936,63.80096226,58.68524909,164.6849525,231.8788987,145.2942265,119.4529971,95.60075037,147.8887917,170.3835127,196.0786774,130.4607094,793.1570936,181.4705111,144.6752323,192.6614966,54.95301089,171.150029,113.746706,151.7776915,99.2446273,543.8333403,121.1974471,144.308882,122.3338447,203.4984703,444.2897746,150.8729313,136.7963117,174.1198991,112.0394567,153.9492686,203.2186079,176.3582455,175.5607338,180.6034205,131.626621,49.74155557,63.06225487,219.3160537
alpha_rarefaction_500_9.txt,500,9,46.59264505,114.2507817,104.836288,59.99928181,126.2865461,129.9717313,152.1535705,78.86200489,93.36799337,162.9990843,107.929672,89.17626277,152.1385156,64.65445105,106.4266041,100.1300656,140.5651946,71.47381101,88.75992999,253.2322761,46.98085159,55.74155557,74.41722277,92.91362099,193.8909136,118.4042479,133.5341813,84.92764683,61.41276525,94.78313463,95.5249877,139.9709114,509.7120911,168.1952083,73.54345966,135.018074,536.7484429,129.6135128,124.6690553,88.75097148,129.9709114,111.189661,109.6966363,158.9195574,132.0573755,80.95411685,83.49504073,99.34368184,463.4927538,163.6302439,143.9074282,261.0681323,183.9178332,102.6115021,119.4890677,122.7826432,99.17626277,128.7472376,133.3238305,93.1370171,102.9132514,120.20956,183.7399492,118.4529971,98.10618791,110.7457437,113.2057793,95.15182834,99.91362099,138.7119217,74.28043204,107.746706,142.2942265,149.1649352,96.64034352,117.6145613,157.4341734,45.10628048,165.1378886,388.5892842,64.04849593,141.6999949,611.5562857,138.5002728,286.5076387,36.6744605,198.8906675,70.71052677,36.72158373,147.9876741,213.8770194,152.7292175,104.3170049,89.87304065,163.6436264,170.4979648,163.4341734,150.1170232,667.5729554,162.3140311,144.3140311,165.0890408,45.23520702,130.3415119,135.141274,135.4289126,111.00666,462.948896,152.0751013,137.0124055,138.1099174,202.4984703,405.205293,159.752038,114.3755153,187.7209621,105.2352322,112.658213,160.5512188,149.1952083,200.3337916,165.6302439,98.5249877,59.68524909,55.68744339,236.3225547
alpha_rarefaction_1000_0.txt,1000,0,60.57004919,157.3140311,114.8991411,100.4941575,180.6770927,150.4420872,179.3503938,103.8283546,91.55715174,222.7023136,135.00666,116.1653235,178.1385156,89.45763699,234.6401356,123.0346492,160.3061501,122.6432655,128.9044257,317.6474977,80.39444824,70.25746155,93.28043204,152.329323,333.3703167,137.308882,162.6346018,130.7894546,81.20680192,126.6911615,170.1528977,152.077487,717.2210703,258.7521346,125.8949791,135.9571545,927.0192356,161.2059632,164.8565695,167.5772163,119.537509,151.1233025,149.4330014,156.5341813,196.6614966,118.2317829,131.4300123,123.7526006,734.442362,165.8179343,163.6771094,356.3989948,246.110233,136.6251992,156.9603272,115.404236,125.8724424,133.2922076,166.582221,111.2080469,121.4451951,154.1832272,284.5964532,154.7446426,138.7894546,125.4565752,121.7595236,162.8812141,112.5178596,186.1385156,95.08515226,146.0875695,152.0862194,205.8797321,164.6150669,143.6896431,201.6393542,76.01808146,265.8666027,500.1311111,81.40560079,233.9053486,809.5842788,237.7940148,400.8667026,68.32079076,254.7387615,77.95411685,63.65164757,221.3684759,293.5610379,168.8020447,175.2044247,177.5183853,164.1964879,238.3363988,236.3020295,143.1812308,1256.477578,214.8190892,209.2529629,201.1080186,72.71052677,168.5888027,195.9636977,163.2334905,121.3755153,628.9084352,204.3535981,157.5923991,145.4690861,305.6705492,744.1165442,168.7503384,142.1436754,246.2019113,144.3256072,138.7776915,262.4753697,172.8643578,229.7948813,178.5198428,157.8454526,110.5762342,95.44317117,306.3816051
alpha_rarefaction_1000_1.txt,1000,1,63.3455149,137.868578,142.9195574,103.6609291,159.4526751,167.3640481,217.7209621,141.8758617,96.15713662,234.2889494,125.9788165,109.2295877,220.1018328,99.61939679,141.9754017,131.9383398,159.2169548,134.4079069,122.7247876,312.5331852,77.39444824,68.11020315,96.47490125,169.1832272,273.2207778,145.4526751,180.9595693,171.6054336,88.15713662,129.7894546,112.1154309,140.5764901,929.8453814,194.4259273,150.9623581,135.039719,892.6688748,168.040173,120.175566,168.721799,143.7894546,157.9772992,134.9318127,140.3584275,170.5173517,114.1771624,110.9571545,138.1642974,740.3034343,171.8812141,183.1107121,287.1889202,318.3946918,128.343488,130.8733359,133.6819011,149.1983888,135.1983888,182.3508144,104.6159341,115.4517248,165.427187,329.5065412,190.0780098,152.4393943,108.480472,117.6160722,170.0071029,112.5785474,163.1109975,111.7595236,167.0890408,173.1378886,145.7105313,157.8075104,146.1244097,161.8179343,61.29602229,270.8951755,530.3451073,75.31832803,245.7560632,881.7969025,262.5486304,449.7746203,70.41722277,277.1452374,75.60320069,74.92128261,247.8506715,289.2559041,230.3265755,144.8949791,153.2250311,166.9189575,265.2544037,257.5247776,145.2078971,1245.914033,213.9662201,228.1813074,222.3368367,77.92128261,165.2044247,162.6692983,167.1866552,135.4940822,670.4228337,225.4650637,171.5432196,179.3690411,321.1038604,732.5547977,175.0730871,196.9457954,287.6876908,156.0875695,172.1801066,289.0469936,191.3108626,205.6393542,162.9972713,242.1900075,125.7132897,74.5873862,215.3708656
alpha_rarefaction_1000_2.txt,1000,2,67.08658982,160.1224346,118.9817518,105.5249877,157.8827953,169.9226847,203.3687806,97.03464915,100.728085,199.2640644,116.9624262,124.8733359,218.8443705,105.5710267,124.4300123,118.1445378,163.1376419,115.8096821,126.1332394,306.3296371,80.73180151,63.66117272,110.1061879,160.3269083,304.3189537,148.6635775,157.1269454,115.4203858,104.0688198,140.5341813,121.4565752,169.0023278,714.8704526,204.7166303,162.8914422,160.6635775,783.676615,162.3002061,141.259439,135.4162186,140.6306713,150.2094022,99.6159341,132.4873053,163.9972713,123.1632873,98.34929591,118.666346,715.9749166,188.372362,158.7235561,387.6173626,330.6023299,108.7562603,130.5060588,122.858074,132.8357623,142.1511133,199.7907776,125.4315584,123.6201194,147.752038,309.2307023,148.7537554,143.1050575,127.1642974,131.7231654,137.0124055,108.0853746,154.5964253,103.2107048,116.4920061,165.1832272,157.1535705,148.4639189,153.3470667,166.5686874,76.42145265,223.0620057,466.6064457,62.89327379,261.3327583,786.4172554,240.4954581,401.6693326,77.40560079,253.4522188,80.01057754,52.06225487,191.364807,259.7124703,177.1342539,164.4137546,184.7388299,177.9876741,179.9990843,294.5316045,153.3702373,1150.346099,228.7232276,276.7157967,275.761416,116.0052706,166.4137546,192.5563745,150.5762935,133.4565752,731.1227164,267.8346932,178.5394663,194.6791401,318.3979438,701.8121453,158.5651946,201.5522602,285.1235818,138.9092051,179.5038093,322.0999668,203.888766,241.9603,191.3684759,162.5761082,105.2260296,84.41563522,273.2694979
alpha_rarefaction_1000_3.txt,1000,3,71.5015554,154.8783155,159.186158,115.5635596,159.7105313,172.9842252,166.621282,77.70025057,87.25746155,218.6588139,131.8458684,100.1837196,210.8271775,116.3582386,192.7599753,127.2795529,170.4687434,133.9109269,117.7424926,308.6437058,90.90778604,64.23520702,87.20428778,148.9189575,312.1161201,137.0082826,149.3529544,174.1997717,65.11796415,133.8002029,190.746225,157.752038,695.3473481,198.8105363,141.9392969,125.4203858,764.7775323,159.8100902,145.5666075,151.0620651,148.6340696,145.3249047,140.0124055,131.7595236,208.7388299,129.2922076,117.6150887,108.6566635,672.4840086,149.4042888,166.4137546,353.4505164,288.3704479,127.0967605,178.2523935,121.8096433,160.2942265,149.9674372,169.4042888,112.218598,103.9608976,127.6911615,278.3621302,137.9942205,169.3676164,118.0374876,124.5060588,128.1216492,121.9898233,166.968468,97.92281094,135.4940822,143.4940822,126.4303657,159.1701482,149.8797297,167.9833076,62.68744339,275.3909589,495.375588,89.0362886,235.9137922,800.11649,199.6091045,409.7232485,62.11350556,277.0963058,94.98496169,71.41927607,235.3265755,277.7157996,182.3023804,151.3880902,160.0751013,166.6659315,375.6789938,243.6809585,146.7047539,1186.422878,218.8438958,200.8379757,234.0819581,80.0362886,151.6953225,169.1952083,177.5287417,114.3093945,628.0490139,205.6393542,178.6075378,211.8190675,305.989265,636.0399701,183.7894546,147.4444649,239.8758175,150.5232759,172.3292306,317.2986908,154.7600864,326.7568808,186.3687806,160.9655605,118.9325349,65.51662186,254.2253043
alpha_rarefaction_1000_4.txt,1000,4,59.29542807,138.4940822,93.97968922,111.3582386,136.2786684,155.8783155,215.5427195,79.76977361,76.83767975,217.7867047,133.6252136,106.2030725,251.2019113,95.90778604,130.1511133,150.936029,150.3775063,104.4565752,112.3093945,290.8856736,64.5873862,57.29602229,98.88733055,138.3338447,373.6287562,120.9571545,165.1983888,154.7292175,72.76631831,206.8255961,220.7499823,156.9109269,775.2682247,193.4462326,131.5341813,133.24768,799.3924025,158.8017591,143.0394567,173.3191764,159.3082209,154.0966319,125.1436754,125.4602134,190.4168824,111.3473638,92.93737773,124.6645357,762.6418945,144.9757514,212.1015161,326.9515712,272.6006528,147.9754017,137.0967605,114.4380034,185.4578887,140.6267647,182.0568493,98.07090869,111.5785474,144.8277909,247.2990321,153.3188375,133.7639119,134.5635596,105.3421448,142.3188375,128.2030725,180.2044247,103.0346492,154.7105313,132.5666075,144.9709114,173.3052228,176.0620651,210.3265755,78.91230179,353.2986908,535.9816679,80.47381101,241.8328352,802.3181379,227.5581299,469.6415069,58.68744339,275.100835,74.91675053,72.98147033,261.3228512,297.3926545,246.4036689,160.0439556,189.9743899,173.6346018,229.4823067,303.3946918,146.5068745,1213.165326,237.6740093,251.985365,225.3535981,70.98524783,154.9286276,147.8887917,151.4236867,126.7247876,666.8660865,217.1267198,209.4981437,178.6692983,306.7693765,608.1539251,183.4489678,136.9942205,313.6023299,132.9832787,157.9623581,315.2307164,166.4796808,272.454174,172.9894241,154.2848817,77.98147033,74.15665238,281.7022618
